stn_id,borrowed_hour,borrowed_day,is_holiday,borrowed_num_nearby,강수량(mm),wind_chill,nearby_id,borrowed_date,XGB_Prediction,LGBM_Prediction,Ensemble_Prediction,predicted_borrowed_num
1146,17,7,1,1.0,0,5.326435435722722,1001,20231203,2.359692,2.637496993074506,2.4985945448923554,2.4985945448923554
1147,17,7,1,2.0,0,4.657721484460929,450,20231203,2.4850395,1.9173681429263458,2.201203807753151,2.201203807753151
1148,17,7,1,2.0,0,5.920041358043738,1002,20231203,1.9058523,2.9773547039536274,2.4416035108818432,2.4416035108818432
1149,17,7,1,2.0,0,5.326435435722722,1003,20231203,3.150058,2.8274741671866344,2.988766099134394,2.988766099134394
1150,17,7,1,1.0,0,5.326435435722722,1004,20231203,2.584246,2.5925150935065764,2.5883805068439254,2.5883805068439254
1151,17,7,1,3.0,0,5.326435435722722,1005,20231203,3.7720165,3.009345055168658,3.3906807902186062,3.3906807902186062
1152,17,7,1,2.0,0,5.326435435722722,269,20231203,1.1498392,1.7256104353977244,1.4377247991121314,1.4377247991121314
1153,17,7,1,1.0,0,5.326435435722722,1006,20231203,2.584246,2.5925150935065764,2.5883805068439254,2.5883805068439254
1154,17,7,1,1.0,0,5.326435435722722,1007,20231203,2.584246,2.5925150935065764,2.5883805068439254,2.5883805068439254
1155,17,7,1,2.0,0,5.326435435722722,1008,20231203,3.150058,3.3377613062966556,3.2439096686894047,3.2439096686894047
1156,17,7,1,3.0,0,5.920041358043738,1009,20231203,2.871782,3.6341814188981365,3.2529817416680014,3.2529817416680014
1157,17,7,1,2.0,0,5.326435435722722,1010,20231203,3.0300844,3.3377613062966556,3.1839228389317142,3.1839228389317142
1158,17,7,1,3.0,0,5.326435435722722,1011,20231203,4.5376487,2.2592426153724157,3.3984456465991717,3.3984456465991717
1159,17,7,1,3.0,0,5.920041358043738,468,20231203,1.3046733,2.2399355311706484,1.772304422632596,1.772304422632596
1160,17,7,1,3.0,0,5.920041358043738,1012,20231203,3.5227911,2.373791839991873,2.9482914936119644,2.9482914936119644
1161,17,7,1,4.0,0,5.920041358043738,1013,20231203,3.5427098,2.8331595638851383,3.187934695654117,3.187934695654117
1162,17,7,1,4.0,0,5.920041358043738,1013,20231203,3.5427098,2.8331595638851383,3.187934695654117,3.187934695654117
1163,17,7,1,4.0,0,5.920041358043738,267,20231203,1.4876946,1.7000397151870537,1.5938671681365872,1.5938671681365872
1164,17,7,1,1.0,0,5.326435435722722,1014,20231203,2.3900914,1.8880111633980863,2.1390512913090287,2.1390512913090287
1165,17,7,1,2.0,0,5.326435435722722,1015,20231203,3.0300844,2.4472988984662054,2.738691635016489,2.738691635016489
1166,17,7,1,3.0,0,5.326435435722722,1016,20231203,4.5376487,2.7898820822616908,3.6637653800438095,3.6637653800438095
1167,17,7,1,1.0,0,4.355111336027708,1017,20231203,2.714836,2.066940060106987,2.390887971146938,2.390887971146938
1168,17,7,1,3.0,0,5.663108803109136,952,20231203,3.3752909,2.5786721296809487,2.9769815001737263,2.9769815001737263
1169,17,7,1,4.0,0,5.920041358043738,463,20231203,1.4425687,2.36506360240173,1.9038161310920698,1.9038161310920698
1170,17,7,1,3.0,0,5.326435435722722,1018,20231203,4.5043125,2.697273493055835,3.600793004157312,3.600793004157312
1171,17,7,1,1.0,0,5.326435435722722,1019,20231203,2.3450165,2.083205980514299,2.214111230003243,2.214111230003243
1172,17,7,1,3.0,0,5.326435435722722,1011,20231203,4.5043125,2.31744665890914,3.4108795870839645,3.4108795870839645
1173,17,7,1,2.0,0,5.326435435722722,1020,20231203,3.0833762,2.4246382205389114,2.7540071948718117,2.7540071948718117
1174,17,7,1,4.0,0,5.920041358043738,1021,20231203,3.3335226,2.962392409999545,3.1479574841059126,3.1479574841059126
1175,17,7,1,3.0,0,5.663108803109136,1022,20231203,3.894973,2.7248161587343365,3.309894599180706,3.309894599180706
1176,17,7,1,3.0,0,4.221342763215654,1023,20231203,3.9633617,2.4507917812175277,3.207076760664916,3.207076760664916
1177,17,7,1,5.0,0,3.3795190499292938,1024,20231203,3.365294,3.1991999120116867,3.282246945828231,3.282246945828231
1178,17,7,1,4.0,0,5.176455566970587,1025,20231203,3.8606818,2.9746692929802343,3.417675532606145,3.417675532606145
1179,17,7,1,1.0,0,3.3331487791862107,1026,20231203,2.3191648,1.8817056644279888,2.1004352086940967,2.1004352086940967
1180,17,7,1,2.0,0,3.3331487791862107,1027,20231203,3.028154,2.224434861367867,2.6262943788498267,2.6262943788498267
1181,17,7,1,2.0,0,2.8150453165647726,1028,20231203,3.0552118,2.254854246383384,2.655033014419414,2.655033014419414
1182,17,7,1,2.0,0,2.8150453165647726,886,20231203,2.770189,2.6926481511861247,2.731418599022933,2.731418599022933
1183,17,7,1,1.0,0,5.326435435722722,1029,20231203,2.0799968,2.0404432560587176,2.0602200401616217,2.0602200401616217
1184,17,7,1,2.0,0,5.663108803109136,1030,20231203,2.7178674,2.3880007845328093,2.5529340794764876,2.5529340794764876
1185,17,7,1,2.0,0,5.326435435722722,1031,20231203,2.7287307,2.4125630724650557,2.5706468755117027,2.5706468755117027
1186,17,7,1,2.0,0,3.0303798274450324,518,20231203,1.9464492,1.960041101737687,1.953245131156777,1.953245131156777
1187,17,7,1,2.0,0,4.355111336027708,1032,20231203,3.289971,2.318573207934589,2.8042721605697727,2.8042721605697727
1188,17,7,1,3.0,0,3.0303798274450324,355,20231203,1.4569237,1.8982406639024583,1.6775821935616417,1.6775821935616417
1189,17,7,1,1.0,0,3.0303798274450324,540,20231203,2.5574284,2.0473354497081058,2.3023819048467287,2.3023819048467287
1190,17,7,1,3.0,0,3.3795190499292938,1033,20231203,3.239821,2.361435156910121,2.8006280570469793,2.8006280570469793
1191,17,7,1,2.0,0,-0.1864508568648927,1034,20231203,3.7500484,2.26440549016292,3.007226944567239,3.007226944567239
1192,17,7,1,2.0,0,4.481994830294506,1035,20231203,3.8059678,2.422061962595682,3.114014885182729,3.114014885182729
1193,17,7,1,3.0,0,4.481994830294506,1036,20231203,3.9526277,2.5002964238403527,3.2264620413421734,3.2264620413421734
1194,17,7,1,2.0,0,-0.1864508568648927,1037,20231203,3.7500484,2.3678942448240137,3.0589713218977854,3.0589713218977854
1195,17,7,1,2.0,0,-0.1864508568648927,1037,20231203,3.7500484,2.3678942448240137,3.0589713218977854,3.0589713218977854
1196,17,7,1,1.0,0,4.481994830294506,1038,20231203,2.8408575,2.2888262491595435,2.5648418774789414,2.5648418774789414
1197,17,7,1,1.0,0,-0.1864508568648927,1039,20231203,3.1088872,2.1518381908440563,2.6303626932156075,2.6303626932156075
1198,17,7,1,3.0,0,-0.1864508568648927,848,20231203,2.335375,1.2397108870087203,1.7875429787903099,1.7875429787903099
1199,17,7,1,3.0,0,2.450009596956703,509,20231203,1.8774877,1.65949293081851,1.7684902951364279,1.7684902951364279
1200,17,7,1,4.0,0,2.450009596956703,1040,20231203,3.5330033,2.5311754831996454,3.032089406715179,3.032089406715179
1201,17,7,1,3.0,0,3.5886797468148712,1041,20231203,3.5045598,2.374037666291976,2.9392987108086466,2.9392987108086466
1202,17,7,1,3.0,0,3.5886797468148712,509,20231203,1.6962607,1.666033791080326,1.6811472408847066,1.6811472408847066
1203,17,7,1,1.0,0,4.355111336027708,1042,20231203,1.5946544,1.4439691939360533,1.5193118174079374,1.5193118174079374
1204,17,7,1,1.0,0,4.355111336027708,665,20231203,2.2817547,1.9615096943951964,2.1216322132635774,2.1216322132635774
1205,17,7,1,1.0,0,4.355111336027708,1043,20231203,1.5946544,1.4439691939360533,1.5193118174079374,1.5193118174079374
1206,17,7,1,1.0,0,4.355111336027708,1044,20231203,1.5946544,1.4439691939360533,1.5193118174079374,1.5193118174079374
1207,17,7,1,1.0,0,4.355111336027708,666,20231203,2.2817547,1.9615096943951964,2.1216322132635774,2.1216322132635774
1208,17,7,1,4.0,0,2.8150453165647726,1045,20231203,2.4976137,1.7143278518499263,2.1059707601458495,2.1059707601458495
1209,17,7,1,4.0,0,5.663108803109136,529,20231203,2.644072,1.9460613963706241,2.295066726093637,2.295066726093637
