stn_id,remain_bicycle,sum,nearby_id,borrowed_num_nearby,강수량(mm),wind_chill,borrowed_hour,borrowed_day,borrowed_date,is_holiday
ST-109,6,4,ST-1659,1.0,0,4.657721484460929,17,7,20231203,1
ST-1092,17,2,ST-1045,2.0,0,5.920041358043738,17,7,20231203,1
ST-1093,17,2,ST-854,2.0,0,4.481994830294506,17,7,20231203,1
ST-1095,10,2,ST-2298,2.0,0,4.481994830294506,17,7,20231203,1
ST-1096,13,1,ST-2301,2.0,0,4.481994830294506,17,7,20231203,1
ST-11,2,2,ST-2534,3.0,0,4.355111336027708,17,7,20231203,1
ST-110,16,3,ST-76,2.0,0,3.3795190499292938,17,7,20231203,1
ST-1100,19,3,ST-863,3.0,0,4.221342763215654,17,7,20231203,1
ST-1101,1,2,ST-647,1.0,0,4.221342763215654,17,7,20231203,1
ST-1102,4,1,ST-2403,1.0,0,4.221342763215654,17,7,20231203,1
ST-1103,17,2,ST-1101,2.0,0,4.616095645006518,17,7,20231203,1
ST-1104,12,3,ST-1100,3.0,0,4.221342763215654,17,7,20231203,1
ST-1105,17,3,ST-1665,2.0,0,4.221342763215654,17,7,20231203,1
ST-1106,8,2,ST-2083,3.0,0,4.221342763215654,17,7,20231203,1
ST-1107,4,2,ST-2129,3.0,0,4.221342763215654,17,7,20231203,1
ST-1109,11,5,ST-2134,4.0,0,4.221342763215654,17,7,20231203,1
ST-111,4,2,ST-2466,3.0,0,4.657721484460929,17,7,20231203,1
ST-1110,35,2,ST-2459,1.0,0,4.221342763215654,17,7,20231203,1
ST-1111,5,3,ST-1474,2.0,0,4.221342763215654,17,7,20231203,1
ST-1114,21,2,ST-3192,1.0,0,-0.1864508568648927,17,7,20231203,1
ST-1119,5,2,ST-868,3.0,0,4.221342763215654,17,7,20231203,1
ST-1120,6,1,ST-612,2.0,0,4.221342763215654,17,7,20231203,1
ST-1121,34,4,ST-611,3.0,0,4.221342763215654,17,7,20231203,1
ST-1122,2,2,ST-2700,3.0,0,4.221342763215654,17,7,20231203,1
ST-1123,11,5,ST-2703,4.0,0,4.221342763215654,17,7,20231203,1
ST-1124,11,3,ST-2699,3.0,0,4.221342763215654,17,7,20231203,1
ST-1125,27,2,ST-1291,4.0,0,4.221342763215654,17,7,20231203,1
ST-1128,1,2,ST-3262,3.0,0,4.221342763215654,17,7,20231203,1
ST-1129,2,2,ST-1726,4.0,0,4.221342763215654,17,7,20231203,1
ST-113,0,2,ST-2891,2.0,0,5.920041358043738,17,7,20231203,1
ST-1130,16,1,ST-1295,1.0,0,4.221342763215654,17,7,20231203,1
ST-1135,12,2,ST-3172,3.0,0,4.221342763215654,17,7,20231203,1
ST-1136,7,1,ST-614,2.0,0,4.221342763215654,17,7,20231203,1
ST-1137,24,2,ST-2120,2.0,0,4.221342763215654,17,7,20231203,1
ST-114,1,2,ST-2321,3.0,0,4.657721484460929,17,7,20231203,1
ST-1140,28,1,ST-1149,1.0,0,3.5886797468148712,17,7,20231203,1
ST-1141,14,2,ST-3219,4.0,0,3.5886797468148712,17,7,20231203,1
ST-1142,21,2,ST-3219,4.0,0,3.5886797468148712,17,7,20231203,1
ST-1143,15,2,ST-2912,2.0,0,3.5886797468148712,17,7,20231203,1
ST-1144,10,2,ST-1537,3.0,0,2.8150453165647726,17,7,20231203,1
ST-1146,12,1,ST-2894,2.0,0,2.450009596956703,17,7,20231203,1
ST-1147,15,3,ST-1940,2.0,0,3.5886797468148712,17,7,20231203,1
ST-1148,19,1,ST-1538,2.0,0,2.450009596956703,17,7,20231203,1
ST-1149,7,1,ST-641,1.0,0,3.5886797468148712,17,7,20231203,1
ST-1150,15,2,ST-1545,3.0,0,2.8150453165647726,17,7,20231203,1
ST-1151,11,3,ST-3117,1.0,0,2.8150453165647726,17,7,20231203,1
ST-1153,3,1,ST-697,1.0,0,3.3331487791862107,17,7,20231203,1
ST-1154,7,2,ST-731,2.0,0,3.3331487791862107,17,7,20231203,1
ST-1158,15,4,ST-1553,4.0,0,3.3331487791862107,17,7,20231203,1
ST-116,5,2,ST-2923,1.0,0,3.0303798274450324,17,7,20231203,1
ST-1161,21,2,ST-2415,1.0,0,4.657721484460929,17,7,20231203,1
ST-1162,6,1,ST-1552,1.0,0,1.9400653186211123,17,7,20231203,1
ST-1163,10,3,ST-757,2.0,0,3.3331487791862107,17,7,20231203,1
ST-1164,11,3,ST-1306,2.0,0,3.3331487791862107,17,7,20231203,1
ST-1165,17,2,ST-769,2.0,0,5.5166,17,7,20231203,1
ST-1166,16,2,ST-772,3.0,0,5.5166,17,7,20231203,1
ST-1167,1,1,ST-2662,1.0,0,1.9400653186211123,17,7,20231203,1
ST-1168,17,3,ST-3221,2.0,0,5.5166,17,7,20231203,1
ST-1169,37,2,ST-2414,4.0,0,4.657721484460929,17,7,20231203,1
ST-117,33,2,ST-1802,2.0,0,3.0303798274450324,17,7,20231203,1
ST-1171,27,2,ST-1576,1.0,0,4.657721484460929,17,7,20231203,1
ST-1172,16,1,ST-1576,1.0,0,4.657721484460929,17,7,20231203,1
ST-1173,14,2,ST-790,1.0,0,4.657721484460929,17,7,20231203,1
ST-1174,35,2,ST-794,3.0,0,4.657721484460929,17,7,20231203,1
ST-1177,6,1,ST-813,1.0,0,5.5166,17,7,20231203,1
ST-1178,32,2,ST-802,2.0,0,5.5166,17,7,20231203,1
ST-1179,15,2,ST-1881,3.0,0,5.5166,17,7,20231203,1
ST-1180,6,1,ST-2679,2.0,0,4.657721484460929,17,7,20231203,1
ST-1181,17,3,ST-1897,2.0,0,5.5166,17,7,20231203,1
ST-1182,8,1,ST-3049,3.0,0,5.5166,17,7,20231203,1
ST-1184,9,1,ST-1185,2.0,0,5.326435435722722,17,7,20231203,1
ST-1185,6,2,ST-1184,1.0,0,5.326435435722722,17,7,20231203,1
ST-1186,18,2,ST-1184,1.0,0,5.326435435722722,17,7,20231203,1
ST-1188,1,2,ST-3271,1.0,0,4.355111336027708,17,7,20231203,1
ST-1189,0,1,ST-3139,3.0,0,3.2548488570130867,17,7,20231203,1
